Grupos ECOICOP;Tipo de dato;Periodo;Total
Índice general;Índice;2021M01;""
Índice general;Índice;2020M12;104,668
Índice general;Índice;2020M11;104,447
Índice general;Índice;2020M10;104,275
Índice general;Índice;2020M09;103,731
Índice general;Índice;2020M08;103,575
Índice general;Índice;2020M07;103,528
Índice general;Índice;2020M06;104,466
Índice general;Índice;2020M05;103,986
Índice general;Índice;2020M04;103,992
Índice general;Índice;2020M03;103,679
Índice general;Índice;2020M02;104,078
Índice general;Índice;2020M01;104,202
Índice general;Índice;2019M12;105,228
Índice general;Índice;2019M11;105,304
Índice general;Índice;2019M10;105,126
Índice general;Índice;2019M09;104,116
Índice general;Índice;2019M08;104,116
Índice general;Índice;2019M07;104,174
Índice general;Índice;2019M06;104,824
Índice general;Índice;2019M05;104,947
Índice general;Índice;2019M04;104,743
Índice general;Índice;2019M03;103,698
Índice general;Índice;2019M02;103,322
Índice general;Índice;2019M01;103,071
Índice general;Índice;2018M12;104,405
Índice general;Índice;2018M11;104,876
Índice general;Índice;2018M10;104,991
Índice general;Índice;2018M09;104,029
Índice general;Índice;2018M08;103,776
Índice general;Índice;2018M07;103,628
Índice general;Índice;2018M06;104,376
Índice general;Índice;2018M05;104,104
Índice general;Índice;2018M04;103,174
Índice general;Índice;2018M03;102,329
Índice general;Índice;2018M02;102,208
Índice general;Índice;2018M01;102,071
Índice general;Índice;2017M12;103,184
Índice general;Índice;2017M11;103,137
Índice general;Índice;2017M10;102,668
Índice general;Índice;2017M09;101,730
Índice general;Índice;2017M08;101,553
Índice general;Índice;2017M07;101,351
Índice general;Índice;2017M06;102,055
Índice general;Índice;2017M05;102,011
Índice general;Índice;2017M04;102,073
Índice general;Índice;2017M03;101,101
Índice general;Índice;2017M02;101,122
Índice general;Índice;2017M01;101,488
Índice general;Índice;2016M12;102,049
Índice general;Índice;2016M11;101,447
Índice general;Índice;2016M10;101,081
Índice general;Índice;2016M09;99,939
Índice general;Índice;2016M08;99,934
Índice general;Índice;2016M07;99,806
Índice general;Índice;2016M06;100,537
Índice general;Índice;2016M05;100,074
Índice general;Índice;2016M04;99,531
Índice general;Índice;2016M03;98,838
Índice general;Índice;2016M02;98,208
Índice general;Índice;2016M01;98,556
Índice general;Índice;2015M12;100,472
Índice general;Índice;2015M11;100,767
Índice general;Índice;2015M10;100,399
Índice general;Índice;2015M09;99,761
Índice general;Índice;2015M08;100,068
